date,month,year
2013-10-23,10,2013
2006-07-07,7,2006
2009-10-24,10,2009
2017-04-04,4,2017
2002-03-04,3,2002
2017-06-14,6,2017
2012-06-04,6,2012
2013-10-22,10,2013
2024-01-29,1,2024
2019-11-20,11,2019
2016-08-21,8,2016
2018-06-01,6,2018
2000-01-29,1,2000
2000-11-21,11,2000
2013-04-02,4,2013
2000-02-23,2,2000
2005-10-28,10,2005
2005-08-26,8,2005
2015-07-17,7,2015
2009-02-26,2,2009
2006-10-07,10,2006
2008-04-03,4,2008
2015-01-03,1,2015
2004-09-10,9,2004
2008-02-25,2,2008
2000-10-29,10,2000
2007-05-18,5,2007
2005-11-25,11,2005
2014-10-11,10,2014
2007-05-04,5,2007
2001-12-29,12,2001
2007-08-13,8,2007
2015-07-02,7,2015
2001-02-30,2,2001
2015-09-07,9,2015
2004-02-09,2,2004
2007-06-04,6,2007
2011-05-11,5,2011
2002-01-12,1,2002
2007-09-25,9,2007
2011-03-30,3,2011
2011-01-03,1,2011
2021-07-14,7,2021
2021-09-25,9,2021
2010-04-26,4,2010
2016-09-14,9,2016
2018-05-01,5,2018
2021-07-04,7,2021
2003-03-29,3,2003
2019-07-07,7,2019
2021-04-15,4,2021
2014-01-19,1,2014
2020-04-18,4,2020
2019-08-14,8,2019
2018-11-05,11,2018
2019-03-25,3,2019
2004-12-05,12,2004
2012-04-09,4,2012
2006-11-05,11,2006
2001-11-06,11,2001
2016-04-07,4,2016
2018-05-04,5,2018
2020-11-30,11,2020
2019-03-14,3,2019
2020-12-20,12,2020
2012-07-14,7,2012
2024-11-10,11,2024
2014-03-08,3,2014
2021-07-07,7,2021
2007-10-10,10,2007
2006-01-25,1,2006
2023-07-07,7,2023
2007-09-06,9,2007
2005-08-16,8,2005
2016-05-11,5,2016
2012-06-03,6,2012
2017-09-22,9,2017
2005-10-06,10,2005
2019-06-14,6,2019
2008-02-21,2,2008
2005-07-22,7,2005
2020-08-07,8,2020
2015-10-11,10,2015
2013-12-06,12,2013
2003-04-13,4,2003
2024-12-09,12,2024
2009-10-02,10,2009
2004-10-21,10,2004
2015-11-28,11,2015
2012-09-26,9,2012
2019-05-07,5,2019
2003-09-15,9,2003
2003-11-03,11,2003
2016-02-09,2,2016
2000-09-25,9,2000
2005-02-06,2,2005
2014-07-29,7,2014
2017-05-30,5,2017
2002-09-14,9,2002
2001-01-19,1,2001
